pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_insol,pl_insolerr1,pl_insolerr2,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,st_vsin,sy_dist
Kepler-431 b,Kepler-431,6.803,,,0.0719,0.764,,,0.37,,,4.56,,,1032.0,,,0.0,,,577.545,12.699,-12.433,,6004.0,1.092,1.071,0.07,4.34,,486.546
Kepler-196 d,Kepler-196,122.0800018,,,0.4545,2.66065673,,,7.56,,,2.21,,,297.0,,,0.0,,,1.8,0.1,-0.1,,5132.0,0.77,0.805,-0.06,3.09,,451.312
Kepler-1609 b,Kepler-1609,114.34219,0.004097,-0.004097,0.4679,2.22,0.9,-0.32,5.56,,,2.79,,,429.0,,,0.0,,,12.975,1.521,-1.319,,6132.0,1.27,1.18,0.1,3.02,,1826.04
Kepler-1610 c,Kepler-1610,44.9851885,0.0004873,-0.0004873,0.2323,2.09,0.35,-0.21,5.02,,,3.02,,,433.0,,,0.0,,,8.34,4.68,-2.51,,5295.0,0.8,0.825,-0.1,4.68,,864.331
Kepler-1968 b,Kepler-1968,7.281099796,,,0.0696,1.50004034,,,2.86,,,4.66,,,744.0,,,0.0,,,72.16,30.08,-19.72,,5008.0,0.788,0.844,0.18,,,750.93
Kepler-1047 c,Kepler-1047,3.18897601,2.038e-05,-2.038e-05,0.04413,0.99,0.13,-0.09,0.937,,,5.31,,,1309.0,,,0.0,,,1323.065,45.752,-43.838,,5754.0,1.13,1.08,0.29,4.47,,817.647
HD 164922 d,HD 164922,12.458,0.003,-0.003,0.103,1.83,,,4.0,1.0,-1.0,3.59,,,,,,0.12,0.13,-0.08,,,,G9 V,5390.0,0.946,0.926,0.18,9.58,2.0,22.0016
Kepler-88 d,KOI-142,1403.0,14.0,-14.0,2.466329866,13.1,,,965.14699656,44.00670243,-44.00670243,2.36,,,,,,0.41,0.03,-0.03,,,,G6 V,5466.0,0.897,0.99,0.27,1.6,1.8,376.863
GJ 338 B b,GJ 338 B,24.422,0.014,-0.014,0.142,3.25,,,10.6,1.2,-1.2,1.7,,,391.0,20.0,-20.0,0.109,0.1,-0.075,,,,M0 V,4014.0,0.58,0.64,-0.03,4.0,2.3,6.33256
EPIC 201427007 b,EPIC 201427007,0.72091,0.00014,-0.00014,,1.5,0.2,-0.2,2.86,,,4.66,,,,,,,,,,,,,5633.0,0.94,0.93,-0.053,,,706.391
EPIC 212624936 b,EPIC 212624936,0.578657,1.6e-05,-1.6e-05,,1.2,0.3,-0.3,1.87,,,5.95,,,,,,,,,,,,,5765.0,0.93,1.0,-0.39,,,561.929
K2-133 b,K2-133,3.07133,0.00011,-0.00011,0.03194,1.34,0.077,-0.076,2.36,,,5.39,,,,,,,,,,,,M1.5 V,3655.0,0.455,0.461,,,,75.1703
Kepler-84 f,Kepler-84,44.552169,0.000812,-0.000812,0.25,2.2,0.43,-0.43,5.48,,,2.83,,,572.0,,,0.0,,,25.3,11.25,-8.16,,6031.0,1.169,1.06,-0.07,3.98,,1023.9
Kepler-117 c,Kepler-117,50.790391,1.4e-05,-1.4e-05,0.2804,12.341,0.392,-0.392,584.78,57.21,-57.21,1.74,0.18,-0.18,704.0,15.0,-15.0,0.0323,0.0033,-0.0033,41.863,2.586,-2.407,F8 V,6150.0,1.606,1.129,-0.04,5.3,6.0,1455.57
Kepler-1550 b,Kepler-1550,225.582809,0.003846,-0.003846,0.7681,3.02,0.71,-0.38,9.38,,,1.87,,,348.0,,,0.0,,,2.305,0.155,-0.144,,5991.0,1.11,1.07,0.01,3.55,,1179.01
Kepler-443 b,Kepler-443,177.6693,0.0031,-0.003,0.495,2.33,0.19,-0.22,6.04,,,2.62,,,233.0,,,0.11,0.15,-0.11,0.86,0.29,-0.37,,4723.0,0.706,0.738,-0.01,3.2,,802.271
HATS-4 b,HATS-4,2.516729,2e-06,-2e-06,0.0362,11.433,0.415,-0.415,420.471,8.899,-8.899,1.55,0.16,-0.16,1315.0,21.0,-21.0,0.013,0.016,-0.016,558.828,,,G,5403.0,0.925,1.001,0.43,2.1,0.7,416.459
Kepler-160 d,Kepler-160,30.0,20.0,-23.0,0.17,,,,100.0,,,,,,,,,,,,,,,,5471.0,1.118,1.003,0.2,6.03,,937.013
Kepler-1517 b,Kepler-1517,5.546083665,7.087e-06,-7.087e-06,0.078,9.76,2.79,-1.93,68.7,,,0.406,,,2336.0,,,0.0,,,1526.983,55.532,-53.422,,7010.0,1.95,1.58,0.01,1.38,,847.299
